indice_tiempo,Unnamed: 0,superficie_sembrada_trigo_ha,superficie_cosechada_trigo_ha,produccion_trigo_t,rendimiento_trigo_kgxha
1923,0,6833343,6778430,6635565,979
1924,1,7200500,6465440,5201979,805
1925,2,6577970,5928650,4093998,691
1926,3,7800000,7669751,6261624,816
1927,4,8372990,8172990,7682990,940
1928,5,9219000,9075547,9499716,1047
1929,6,8285600,6436023,4424628,687
1930,7,8613060,7902300,6321836,800
1931,8,6999000,6486300,5979200,922
1932,9,8009000,7200350,6556000,911
1933,10,7962300,7304900,7790600,1066
1934,11,7613000,6942200,6550000,944
1935,12,5750000,4731000,3850000,814
1936,13,7792842,7115166,6801495,956
1937,14,8384045,6978544,5650000,810
1938,15,8620970,8149388,10318660,1266
1939,16,7216798,5065460,3558000,702
1940,17,7084800,6718000,8150000,1213
1941,18,7300000,5933000,6486876,1093
1942,19,6872800,4875310,6400000,1313
1943,20,6811200,5989071,6800000,1135
1944,21,6232500,4361130,4085220,937
1945,22,5762064,4043450,3907000,966
1946,23,6673456,5618836,5614970,999
1947,24,5449700,4594300,6500000,1415
1948,25,5805800,4343200,5200000,1197
1949,26,5692000,4534100,5144000,1135
1950,27,6554200,5240700,5796000,1106
1951,28,4791000,2740400,2100000,766
1952,29,6065210,5578900,7633540,1368
2000,77,6496600,6408045,15959352,2491
2001,78,7108900,6840720,15291660,2235
2002,79,6300210,6050210,12301442,2033
2003,80,6039857,5735292,14562955,2539
2004,81,6255365,6061930,15925025,2627
2005,82,5222485,4975920,12593396,2531
2006,83,5675975,5540405,14547960,2626
2007,84,5951577,5777560,16354091,2831
2008,85,4733735,4266430,8376452,1963
2009,86,3556705,3272740,9023139,2757
2010,87,4582250,4531520,15875653,3503
2011,88,4630600,4496078,14500519,3225
2012,89,3162138,3019403,8024996,2658
2013,90,3648070,3451785,9188339,2662
2014,91,5261085,4957300,13930078,2810
2015,92,4381128,3953102,11314952,2862
2016,93,6364015,5566385,18395106,3305
2017,94,5927610,5822173,18518045,3181
2018,95,6287149,6050953,19459727,3216
2019,96,6951171,6729838,19776942,2939
